data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ram_geracao,ram_gb,ram_mhz,ram_cl,ram_notebook
2026-07-01,ram,506527,"Memória Servidor Kingston, 64GB, 2666MHZ, DDR4, PC4, ECC, CL19, 288-PIN RDIMM, HYNIX - KSM26RD4/64HCR",0.0,4809.99,4328.99,10,0,0,True,Kingston,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/506527/memoria-servidor-kingston-64gb-2666mhz-ddr4-pc4-ecc-cl19-288-pin-rdimm-hynix-ksm26rd4-64hcr,DDR4,64.0,2666.0,19.0,False
2026-07-01,ram,1009143,Memória 16gb Ddr5 5600mhz Hiksemi Armor - Cl46 - Hsc516u56d2,0.0,2789.99,2510.99,10,0,0,True,Outros,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1009143/memoria-16gb-ddr5-5600mhz-hiksemi-armor-cl46-hsc516u56d2,Ddr5,16.0,5600.0,46.0,False
2026-07-01,ram,1041713,"Memória 16gb Easy Memory, Ddr4, 2666mhz",0.0,769.23,730.77,5,0,0,True,Eletronic Artssy Memory,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1041713/memoria-16gb-easy-memory-ddr4-2666mhz,Ddr4,16.0,2666.0,,False
2026-07-01,ram,1019527,"Memoria Ram 4gb Ddr4, 2133mhz, PC4-17000, 288-pin - Oem",0.0,235.79,207.5,12,0,0,True,OEM,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/1019527/memoria-ram-4gb-ddr4-2133mhz-pc4-17000-288-pin-oem,Ddr4,4.0,2133.0,,False
2026-07-01,ram,1023720,"Memória Ram 8GB Ddr3, 1600mhz, PC3-12800, 240 Pinos - Oem",0.0,168.43,148.22,12,0,0,True,OEM,Hardware/Memória RAM/DDR 4/1600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1023720/memoria-ram-8gb-ddr3-1600mhz-pc3-12800-240-pinos-oem,Ddr3,8.0,1600.0,,False
2026-07-01,ram,779635,Memória Ram Para Lenovo Thinkagile 32gb Ddr4 2666mhz Ecc,0.0,1399.0,1399.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/779635/memoria-ram-para-lenovo-thinkagile-32gb-ddr4-2666mhz-ecc,Ddr4,32.0,2666.0,,False
2026-07-01,ram,764901,Memória Ram Para Lenovo Thinksystem 32gb Ddr4 2666mhz Ecc,0.0,1399.0,1399.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/764901/memoria-ram-para-lenovo-thinksystem-32gb-ddr4-2666mhz-ecc,Ddr4,32.0,2666.0,,False
2026-07-01,ram,764904,"Memória Ram 32gb Ddr4 hp Proliant D160,  dl180, Dl20 Gen9",0.0,1399.0,1399.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/764904/memoria-ram-32gb-ddr4-hp-proliant-d160-dl180-dl20-gen9,Ddr4,32.0,,,False
2026-07-01,ram,886363,Memória Ram 16gb Ddr3 Dell Poweredge R320 R420 R520 R620 R720,0.0,452.0,452.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/886363/memoria-ram-16gb-ddr3-dell-poweredge-r320-r420-r520-r620-r720,Ddr3,16.0,,,False
2026-07-01,ram,877821,Memória Ram Para Lenovo Thinkagile 16gb Ddr4 2666mhz Ecc,0.0,899.0,899.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,True,https://www.kabum.com.br/produto/877821/memoria-ram-para-lenovo-thinkagile-16gb-ddr4-2666mhz-ecc,Ddr4,16.0,2666.0,,False
2026-07-01,ram,877820,Memória Ram Para Lenovo Thinkagile 16gb Ddr4 2666mhz Ecc,0.0,899.0,899.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,True,https://www.kabum.com.br/produto/877820/memoria-ram-para-lenovo-thinkagile-16gb-ddr4-2666mhz-ecc,Ddr4,16.0,2666.0,,False
2026-07-01,ram,878671,"Memória Ram 16gb Ddr4 Hp Proliant D160, Dl180, Dl20 Gen9",0.0,899.0,899.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,True,https://www.kabum.com.br/produto/878671/memoria-ram-16gb-ddr4-hp-proliant-d160-dl180-dl20-gen9,Ddr4,16.0,,,False
2026-07-01,ram,886367,Memória Ram 16gb Ddr3 Dell Poweredge R410 R510 R610 R710,0.0,452.0,452.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/886367/memoria-ram-16gb-ddr3-dell-poweredge-r410-r510-r610-r710,Ddr3,16.0,,,False
2026-07-01,ram,886352,Memória Ram 16gb Ddr3 1600mhz  Hp Proliant Ml350e Ml350p Gen8,0.0,452.0,452.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/886352/memoria-ram-16gb-ddr3-1600mhz-hp-proliant-ml350e-ml350p-gen8,Ddr3,16.0,1600.0,,False
2026-07-01,ram,870651,Memória Ram Para Servidor Hp Proliant Dl120 G7 - 8GB Ecc.,0.0,599.0,599.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/870651/memoria-ram-para-servidor-hp-proliant-dl120-g7-8gb-ecc,,8.0,,,False
