categoria,n_produtos,mae,r2,cobertura,largura_media
ram,1342,339.2616776536234,0.8539043806399398,0.862453531598513,1298.5685181058557
cpu,826,779.5567895563154,0.4602535562643758,0.9457831325301205,3749.8540735014335
gpu,639,1756.1671558606688,0.6528125277852135,0.8671875,4558.933224036027
ssd,997,720.5206599178861,0.3113081643272756,0.91,2811.2187738865337
fonte,619,193.83133173858823,0.7438872191989727,0.9596774193548387,1090.9878266286858
placa_mae,1016,492.8509508304246,0.546345188693187,0.9215686274509803,2118.605562488106
