categoria,n_produtos,mae,r2,cobertura,largura_media
ram,1435,251.98288364916814,0.9152587524226806,0.926829268292683,1223.6040900857101
cpu,642,541.5096370940787,0.5685716061615238,0.8914728682170543,2657.6865364779337
gpu,733,1367.109964667789,0.46036572817372046,0.8503401360544217,4992.456903888733
ssd,1129,645.1636442095675,0.54270534476574,0.9203539823008849,2177.0492174889255
fonte,695,143.84728536248969,0.6334925219339502,0.920863309352518,609.1704546436317
placa_mae,1046,531.2789828039658,0.46954014799811084,0.9428571428571428,2108.3377503760066
