data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-06-26,gpu,475647,"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD",2352.93,2352.93,1999.99,15,5,1308,True,Gigabyte,Hardware/Placa de vídeo (VGA)/Placa de vídeo AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/475647/placa-de-video-rx-7600-gaming-oc-8g-amd-radeon-gigabyte-8gb-gddr6-128bits-rgb-gv-r76gaming-oc-8gd
2026-06-26,gpu,1012610,"Placa De Vídeo MSI GeForce RTX 5060 Ti Shadow 2X OC Plus, Nvidia, 8GB, GDDR7, 128-Bit - G506T-8S2CP",4444.43,4444.43,3999.99,10,5,26,True,MSI,Hardware/Placa de vídeo (VGA)/Placa de vídeo Nvidia,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/1012610/placa-de-video-msi-geforce-rtx-5060-ti-shadow-2x-oc-plus-nvidia-8gb-gddr7-128-bit-g506t-8s2cp
2026-06-26,gpu,688497,"Placa de Vídeo ASRock Intel Arc B580 Challenger 12G OC, 12GB, GDDR6, 2740MHz - 90-GA5LZZ-00UANF",2544.33,2544.33,2289.9,10,5,20,True,ASRock,Hardware/Placa de vídeo (VGA)/Placa de vídeo Intel,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/688497/placa-de-video-asrock-intel-arc-b580-challenger-12g-oc-12gb-gddr6-2740mhz-90-ga5lzz-00uanf
2026-06-26,gpu,725947,"Placa de Vídeo XFX Swift RX 9070 XT TRIPLE FAN GAMING EDITION WITH AMD Radeon, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TSWF3B9",6588.22,6588.22,5599.99,15,5,112,True,XFX,Hardware/Placa de vídeo (VGA)/Placa de vídeo AMD,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/725947/placa-de-video-xfx-swift-rx-9070-xt-triple-fan-gaming-edition-with-amd-radeon-16gb-gddr6-hdmi-3xdp-rdna-4-rx-97tswf3b9
2026-06-26,gpu,871958,"Placa de Vídeo PowerColor RX 9060 XT Reaper AMD Radeon, 16GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT 16G-A",4545.44,4545.44,3999.99,12,5,36,True,Powercolor,Hardware/Placa de vídeo (VGA)/Placa de vídeo AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/871958/placa-de-video-powercolor-rx-9060-xt-reaper-amd-radeon-16gb-gddr6-128bits-opengl-4-6-rdna-4-rx9060xt-16g-a
2026-06-26,gpu,1000487,"Placa de Vídeo ASUS RTX 5060 Dual NVIDIA GeForce, 8GB, GDDR7, 128-bit - DUAL-RTX5060-8G",3529.4,3529.4,2999.99,15,5,13,True,ASUS,Hardware/Placa de vídeo (VGA)/Placa de vídeo Nvidia,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/1000487/placa-de-video-asus-rtx-5060-dual-nvidia-geforce-8gb-gddr7-128-bit-dual-rtx5060-8g
2026-06-26,gpu,998334,Placa de Vídeo PcYes Nvidia Geforce Rtx 3050 6Gb Gddr6 96Bits - Pvpcr30506Gb2F,2352.93,2352.93,1999.99,15,5,14,True,PCYES,Hardware/Placa de vídeo (VGA)/Placa de vídeo Nvidia,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/998334/placa-de-video-pcyes-nvidia-geforce-rtx-3050-6gb-gddr6-96bits-pvpcr30506gb2f
2026-06-26,gpu,725587,"Placa de Vídeo MSI GeForce RTX 5070 12G VENTUS 2X OC,12 GB GDDR7, 28Gbps, NVIDIA GeForce RTX 5070- G5070-12V2C",7058.82,7058.82,6000.0,15,5,80,True,MSI,Hardware/Placa de vídeo (VGA)/Placa de vídeo Nvidia,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/725587/placa-de-video-msi-geforce-rtx-5070-12g-ventus-2x-oc-12-gb-gddr7-28gbps-nvidia-geforce-rtx-5070-g5070-12v2c
2026-06-26,gpu,870975,"Placa de Vídeo XFX RX 9060 XT OC Gaming AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, FidelityFX, RDNA 4 - RX-96TSW16BQ",4705.87,4705.87,3999.99,15,5,81,True,XFX,Hardware/Placa de vídeo (VGA)/Placa de vídeo AMD,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/870975/placa-de-video-xfx-rx-9060-xt-oc-gaming-amd-radeon-16gb-gddr6-128bits-20-gbps-fidelityfx-rdna-4-rx-96tsw16bq
2026-06-26,gpu,725948,"Placa de Vídeo XFX Swift RX 9070 XT WHITE TRIPLE FAN GAMING EDITION WITH AMD Radeon, 16GB, GDDR6, HDMI 3xDP, RDNA 4 - RX-97TSWF3W9",6211.65,6211.65,5279.9,15,5,12,True,XFX,Hardware/Placa de vídeo (VGA)/Placa de vídeo AMD,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/725948/placa-de-video-xfx-swift-rx-9070-xt-white-triple-fan-gaming-edition-with-amd-radeon-16gb-gddr6-hdmi-3xdp-rdna-4-rx-97tswf3w9
