data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-05-16,ram,117533,"Memória Oxy, 8GB, 1600MHz, DDR3",0.0,269.9,269.9,0,5,2,True,Oxy,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/117533/memoria-oxy-8gb-1600mhz-ddr3
2026-05-16,ram,579891,"Memória Para Notebook Keepdata, 8G, 2400Mhz, DDR4, PC2400, 1.2v - Kd24s17/8g",0.0,729.0,729.0,0,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/579891/memoria-para-notebook-keepdata-8g-2400mhz-ddr4-pc2400-1-2v-kd24s17-8g
2026-05-16,ram,897345,Memória Notebook 32gb Ddr4 3200mhz Fnx Fnx32s22s8/32g So-dimm,0.0,1899.0,1899.0,0,0,0,True,Fnx,Hardware/Memória RAM,Sem Garantia,False,https://www.kabum.com.br/produto/897345/memoria-notebook-32gb-ddr4-3200mhz-fnx-fnx32s22s8-32g-so-dimm
2026-05-16,ram,175107,"Memória Kingston, 4GB, 1333MHz, DDR3, Para Notebook - KVR13S9S8/4",0.0,129.9,123.41,5,0,0,True,Kingston,Hardware/Memória RAM,Sem Garantia,True,https://www.kabum.com.br/produto/175107/memoria-kingston-4gb-1333mhz-ddr3-para-notebook-kvr13s9s8-4
2026-05-16,ram,948364,Memória Ddr4 8GB 2400mhz Keepdata,0.0,711.53,711.53,0,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/948364/memoria-ddr4-8gb-2400mhz-keepdata
2026-05-16,ram,984739,"Memória Kingston, 8GB, 3200mhz, Ddr4, Cl22, Para Notebook - Kvr32s22s8/8",0.0,559.0,559.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/984739/memoria-kingston-8gb-3200mhz-ddr4-cl22-para-notebook-kvr32s22s8-8
2026-05-16,ram,461330,"Memória Desktop Lexar 8GB, DDR4, 3200Mhz - Ld4au008g-b3200gsst",0.0,1010.55,960.02,5,0,0,True,Lexar,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/461330/memoria-desktop-lexar-8gb-ddr4-3200mhz-ld4au008g-b3200gsst
2026-05-16,ram,697040,Memoria Notebook 8GB Ddr5 5600 Cl46 1.1v Sodimm Kvr56s46bs6-8 Kingston,0.0,1219.0,1219.0,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/697040/memoria-notebook-8gb-ddr5-5600-cl46-1-1v-sodimm-kvr56s46bs6-8-kingston
2026-05-16,ram,731035,Memoria Kingston Fury Beast 32gb Ddr5 5600mt/s 1.25v Black Desktop - Kf556c36bbe-32,0.0,3999.9,3599.91,10,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/731035/memoria-kingston-fury-beast-32gb-ddr5-5600mt-s-1-25v-black-desktop-kf556c36bbe-32
2026-05-16,ram,679465,"Memória Kingston Futy Impact, 16gb, Ddr5, 5600mhz, 1.1v, Cl 40, Notebook - Black - Kf556s40ib-16",0.0,1699.9,1699.9,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/679465/memoria-kingston-futy-impact-16gb-ddr5-5600mhz-1-1v-cl-40-notebook-black-kf556s40ib-16
2026-05-16,ram,909073,Memória Rise Mode Aura 16GB 3200MHz DDR4 ARGB - RM-D4AW-16G-3200ARGB,0.0,1076.49,1022.67,5,0,0,True,Rise Mode,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/909073/memoria-rise-mode-aura-16gb-3200mhz-ddr4-argb-rm-d4aw-16g-3200argb
2026-05-16,ram,731034,Memoria Kingston Fury Beast RGB 16gb Ddr5 6000mt/s 1.35v Black Desktop - Kf560c36bbe2a-16.,0.0,4499.9,4049.91,10,0,0,True,Kingston,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/731034/memoria-kingston-fury-beast-rgb-16gb-ddr5-6000mt-s-1-35v-black-desktop-kf560c36bbe2a-16-
2026-05-16,ram,467734,"Memória Ram Crucial, 16GB, 2133Mhz, DDR4, Para Notebook",0.0,899.9,899.9,0,0,0,True,Crucial,Hardware/Memória RAM/DDR 4/2133MHz,Sem Garantia,False,https://www.kabum.com.br/produto/467734/memoria-ram-crucial-16gb-2133mhz-ddr4-para-notebook
2026-05-16,ram,942054,Testador De Memoria Ram Ddr3 Ddr4 Ddr5 Memory Analyzer Oem,0.0,398.75,350.9,12,0,0,True,OEM,Hardware/Memória RAM/Acessórios,Sem Garantia,False,https://www.kabum.com.br/produto/942054/testador-de-memoria-ram-ddr3-ddr4-ddr5-memory-analyzer-oem
2026-05-16,ram,739157,Memoria 8GB Ddr4 3200mhz Redragon Rage Branco Gm-711,0.0,809.99,728.99,10,0,0,True,Redragon,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/739157/memoria-8gb-ddr4-3200mhz-redragon-rage-branco-gm-711
2026-05-16,ram,472884,"Memória Ram Crucial, 4GB, 1333Mhz, DDR3L, Para Notebook",0.0,159.9,159.9,0,0,0,True,Crucial,Hardware/Memória RAM/DDR 3/1333 Mhz PC10666,Sem Garantia,False,https://www.kabum.com.br/produto/472884/memoria-ram-crucial-4gb-1333mhz-ddr3l-para-notebook
2026-05-16,ram,532695,"Memória Dale7, 8GB, 4800Mhz, DDR5, Notebook, 1.1v",0.0,946.89,946.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/532695/memoria-dale7-8gb-4800mhz-ddr5-notebook-1-1v
2026-05-16,ram,688214,Memória Gamer Adata Xpg Lancer Blade 16gb Ddr5 6000mhz RGB - Ax5u6000c4816g-slabrbk,0.0,2349.99,2114.99,10,0,0,True,Adata,Hardware/Memória RAM/DDR 5,Sem Garantia,False,https://www.kabum.com.br/produto/688214/memoria-ram-xpg-lancer-blade-rgb-16gb-6000mts-ddr5-cl48-preto
2026-05-16,ram,564716,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Preto - RM-D4-8G-3200Z",0.0,660.88,594.79,10,0,0,True,Rise Mode,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/564716/memoria-z-series-8gb-3200-cl-19-preto-rm-d4-8g-3200z-heatsink-black
2026-05-16,ram,908999,"Memória RAM Gamer Rise Mode Venon, ARGB, 16GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-16G-3200-RGB",0.0,1076.49,1022.67,5,0,0,True,Rise Mode,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/908999/memoria-rise-mode-venon-16gb-3200mhz-ddr4-rgb-rm-d4-16g-3200-rgb
2026-05-16,ram,580130,"Memória RAM Rise Mode Z, 16GB, 3200MHz, DDR4, CL19, Branco - RM-D4-16G-3200ZW",0.0,1028.66,977.23,5,5,1,True,Rise Mode,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/580130/memoria-rise-mode-z-cl16-ddr4-3200mhz-com-dissipador-branco-rm-d4-16g-3200zw
2026-05-16,ram,388091,"Memória RAM Kingston Fury Beast RGB, 64GB (2x32GB), 5600MHz, DDR5, CL40, para Intel XMP, Preto - KF556C40BBAK2-64",0.0,9999.99,8499.99,15,5,1,True,Kingston,Hardware/Memória RAM/DDR 5,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/388091/memoria-ram-kingston-fury-beast-rgb-64gb-2x32gb-5600mhz-ddr5-cl40-para-intel-xmp-preto-kf556c40bbak2-64
2026-05-16,ram,1012615,Memória Notebook 8GB Ddr4 2400mhz Ct8g4sfs824a Crucial,0.0,599.9,599.9,0,0,0,True,Crucial,Hardware/Memória RAM/DDR 4/2400MHz,Sem Garantia,False,https://www.kabum.com.br/produto/1012615/memoria-notebook-8gb-ddr4-2400mhz-ct8g4sfs824a-crucial
2026-05-16,ram,532561,"Memória Dale7, 8GB, 1333Mhz, DDR3, Notebook, 1.5v",0.0,172.89,172.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/532561/memoria-dale7-8gb-1333mhz-ddr3-notebook-1-5v
2026-05-16,ram,764900,"Memória Ram 32gb Para  hp Workstation Z4, Z6 E Z8 Gen4 - Ddr4 ecc",0.0,1399.0,1399.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/764900/memoria-ram-32gb-para-hp-workstation-z4-z6-e-z8-gen4-ddr4-ecc
2026-05-16,ram,877823,Memória Ram Para Lenovo Thinksystem 8GB Ddr4 2666mhz Ecc,0.0,799.0,799.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4/2666MHz,Sem Garantia,True,https://www.kabum.com.br/produto/877823/memoria-ram-para-lenovo-thinksystem-8gb-ddr4-2666mhz-ecc
2026-05-16,ram,533030,"Memória Dale7, 2GB, 533Mhz, DDR2, Notebook, 1.8v",0.0,68.89,68.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 2,Sem Garantia,False,https://www.kabum.com.br/produto/533030/memoria-dale7-2gb-533mhz-ddr2-notebook-1-8v
2026-05-16,ram,995920,Memória Ddr4 8GB Duex 2666mhz (1x8GB) Dual Rank Dx8GB-2666m,0.0,466.56,466.56,0,0,0,True,Duex,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/995920/memoria-ddr4-8gb-duex-2666mhz-1x8gb-dual-rank-dx8gb-2666m
2026-05-16,ram,692213,Memória Kingston 8GB Ddr4 3200mhz Kvr32n22s8l/8,0.0,491.99,491.99,0,0,0,True,Kingston,Hardware/Memória RAM/DDR 4/3200MHz,Sem Garantia,False,https://www.kabum.com.br/produto/692213/memoria-kingston-8gb-ddr4-3200mhz-kvr32n22s8l-8
