data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,cpu_socket,cpu_tdp_w,cpu_com_cooler,cpu_marca,cpu_serie,cpu_ddr_suportado
2026-05-16,cpu,921832,"Processador Intel Xeon E-2314 2.8ghz 4c/4t, 8gt/s, 8m Cache, Turbo (65w) - Oem",0.0,1800.0,1800.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Xeon,Sem Garantia,False,https://www.kabum.com.br/produto/921832/processador-intel-xeon-e-2314-2-8ghz-4c-4t-8gt-s-8m-cache-turbo-65w-oem,,65.0,False,Intel,,
2026-05-16,cpu,776199,Processador Intel Core i5-3340 3.10ghz 1155 3 Geração,0.0,426.28,426.28,0,0,0,True,Outros,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/776199/processador-intel-core-i5-3340-3-10ghz-1155-3-geracao,1155,,False,Intel,Core i5,
2026-05-16,cpu,992783,Processador Intel Core i5 2320 3.0ghz 6m Cache Quad-core Oem S/box,0.0,269.49,269.49,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/992783/processador-intel-core-i5-2320-3-0ghz-6m-cache-quad-core-oem-s-box,,,True,Intel,Core i5,
2026-05-16,cpu,1025146,Processador Desk Intel 1155 Core i3-2100 3.10ghz Oem,0.0,55.99,50.39,10,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/1025146/processador-desk-intel-1155-core-i3-2100-3-10ghz-oem,1155,,False,Intel,Core i3,
2026-05-16,cpu,941018,"Processador Gamer Intel Core i5-6600 – 4 Núcleos, Até 3.9ghz, Gráficos Integrados Intel Hd 530",0.0,314.9,292.86,7,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/941018/processador-gamer-intel-core-i5-6600-4-nucleos-ate-3-9ghz-graficos-integrados-intel-hd-530,,,False,Intel,Core i5,
2026-05-16,cpu,941019,"Processador Intel Core i5-8500 – 8ª Geração, 6 Núcleos, Até 4.1ghz, Gráficos Integrados Uhd 630",0.0,622.9,622.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/941019/processador-intel-core-i5-8500-8-geracao-6-nucleos-ate-4-1ghz-graficos-integrados-uhd-630,,,False,Intel,Core i5,
2026-05-16,cpu,992791,"Processador Intel Core i5-12400, Cache 18mb, 2.5ghz (4.4ghz Max Turbo), LGA  1700 S/box Oem",0.0,1593.9,1593.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/992791/processador-intel-core-i5-12400-cache-18mb-2-5ghz-4-4ghz-max-turbo-lga-1700-s-box-oem,LGA1700,,True,Intel,Core i5,DDR4/DDR5
2026-05-16,cpu,1016320,"Processador Intel Core i5, 4ª Geração, 3.20ghz, Socket LGA 1150, Cache 6mb, Com Cooler – Oem",0.0,188.95,179.5,5,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/1016320/processador-intel-core-i5-4-geracao-3-20ghz-socket-lga-1150-cache-6mb-com-cooler-oem,LGA1150,,True,Intel,Core i5,
2026-05-16,cpu,1029823,"Processador Intel Core i7-3770, 3.40ghz, Smart Cache 8mb, LGA  1155, 8 Threads, Oem",0.0,499.99,499.99,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i7,Sem Garantia,False,https://www.kabum.com.br/produto/1029823/processador-intel-core-i7-3770-3-40ghz-smart-cache-8mb-lga-1155-8-threads-oem,LGA1155,,False,Intel,Core i7,
2026-05-16,cpu,1029911,Processador Gamer Amd Ryzen 5 7500f Am5 3.7ghz Six Core 6 Núcleos Oem,0.0,1499.0,1499.0,0,0,0,True,AMD,Hardware/Processadores/Processador AMD/Ryzen,Sem Garantia,False,https://www.kabum.com.br/produto/1029911/processador-gamer-amd-ryzen-5-7500f-am5-3-7ghz-six-core-6-nucleos-oem,AM5,,False,AMD,Ryzen 5,DDR5
