data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ssd_interface,ssd_geracao_pcie,ssd_capacidade_gb,ssd_notebook
2026-05-16,ssd,355132,"SSD Kingspec P3-1TB, 1TB, SATA, Leitura 550MB/S, Gravação 550MB/S",0.0,1500.0,1500.0,0,0,0,True,Kingspec,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/355132/ssd-kingspec-p3-1tb-1tb-sata-leitura-550mb-s-gravacao-550mb-s,SATA,,1024.0,False
2026-05-16,ssd,374650,"SSD 2tb WD Green Sn350 Nvme, Gen3, M.2 2280, Leitura/grav. 3200/3000mb/s - Wds200t3g0c",0.0,1849.0,1664.1,10,5,2,True,WD,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/374650/ssd-2tb-wd-green-sn350-nvme-gen3-m-2-2280-leitura-grav-3200-3000mb-s-wds200t3g0c,NVMe,None,2048.0,False
2026-05-16,ssd,387111,"SSD WD SN700 Red 1TB, M.2, Leitura Até 3400MB/s, Gravação Até 2900MB/s",0.0,2489.0,2489.0,0,0,0,True,WD,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/387111/ssd-wd-sn700-red-1tb-m-2-leitura-ate-3400mb-s-gravacao-ate-2900mb-s,NVMe,,1024.0,False
2026-05-16,ssd,385692,SSD Crucial 480gb Bx500.,0.0,729.0,656.1,10,0,0,True,Crucial,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/385692/ssd-crucial-480gb-bx500,,,480.0,False
2026-05-16,ssd,905657,"Nvme 1TB Corsair Mp700 Elite, M.2 2280, PCie Gen 5x4, Grav 10000mb/s, Leit 8400mb/s - Cssd-f1000gbmp700ehs",0.0,2690.9,2421.81,10,0,0,True,Corsair,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/905657/nvme-1tb-corsair-mp700-elite-m-2-2280-pcie-gen-5x4-grav-10000mb-s-leit-8400mb-s-cssd-f1000gbmp700ehs,NVMe,None,1024.0,False
2026-05-16,ssd,688543,"Hd SSD Best Memory Highlander 256gb, Sata Iii, 2.5"", Leitura Até 550 Mb/s - Gravação Até 500 Mb/s",0.0,342.31,308.08,10,0,0,True,BEST MEMORY,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/688543/hd-ssd-best-memory-highlander-256gb-sata-iii-2-5-leitura-ate-550-mb-s-gravacao-ate-500-mb-s,SATA,,256.0,False
2026-05-16,ssd,199892,"Ssd 2TB Kingston Nv1, M.2 2280, Nvme Pcie 3.0 X4, Leitura 2100MB/s, Gravação 1700MB/s - Snvs/2000g",0.0,2399.0,2159.1,10,0,0,True,Kingston,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/199892/ssd-2tb-kingston-nv1-m-2-2280-nvme-pcie-3-0-x4-leitura-2100mb-s-gravacao-1700mb-s-snvs-2000g,NVMe,3.0,2048.0,False
2026-05-16,ssd,903817,SSD  512gb 2.5 Sata 3 560mbs Leit 520mbs Grav Sgm512st Sgmax,0.0,562.5,495.0,12,0,0,True,Outros,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/903817/ssd-512gb-2-5-sata-3-560mbs-leit-520mbs-grav-sgm512st-sgmax,SATA,,512.0,False
2026-05-16,ssd,396972,"Ssd M.2 2280, Nvme 256GB, Oxybr",0.0,483.99,483.99,0,0,0,True,OxyBr,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/396972/ssd-m-2-2280-nvme-256gb-oxybr,NVMe,,256.0,False
2026-05-16,ssd,542143,"SSD Corsair MP700 Pro, 4TB, M.2 NVMe, Leitura 12400MB/s e Gravação 11800MB/s, Preto - CSSD-F4000GBMP700PRO",0.0,7999.99,6799.99,15,0,0,True,Corsair,Hardware/SSD/SSD PCIe NVMe,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/542143/ssd-corsair-mp700-pro-4tb-m-2-nvme-leitura-12400mb-s-e-gravacao-11800mb-s-preto-cssd-f4000gbmp700pro,NVMe,,4096.0,False
2026-05-16,ssd,613831,"Hd SSD Kingston 480GB, A400 Sata3 2,5 7mm - Sa400s37/480g",0.0,760.0,760.0,0,0,0,True,Kingston,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/613831/hd-ssd-kingston-480gb-a400-sata3-2-5-7mm-sa400s37-480g,SATA,,480.0,False
2026-05-16,ssd,874369,SSD Samsung 990 Evo Plus De 4 Tb Gen4 Nvme M.2 - Mz-v9s4t0b/am Compatível Com Ps5,0.0,6103.0,5614.76,8,0,0,True,Samsung,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/874369/ssd-samsung-990-evo-plus-de-4-tb-gen4-nvme-m-2-mz-v9s4t0b-am-compativel-com-ps5,NVMe,None,4096.0,False
2026-05-16,ssd,918350,"SSD Hiksemi Wave, 128GB, M.2 2280, PCIE 3.0 - Hs-ssd-wave(p) 128g",0.0,279.0,262.26,6,0,0,True,Hiksemi,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/918350/ssd-hiksemi-wave-128gb-m-2-2280-pcie-3-0-hs-ssd-wave-p-128g,NVMe,3.0,128.0,False
2026-05-16,ssd,956248,"Nvme 4TB Kingston Fury Renegade G5, M.2 2280, PCie Gen 5x4, Leit 14800mb/s, Grav 14000mb/s - Sfyr2s/4t0",0.0,5712.0,5026.56,12,0,0,True,Kingston,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,True,https://www.kabum.com.br/produto/956248/nvme-4tb-kingston-fury-renegade-g5-m-2-2280-pcie-gen-5x4-leit-14800mb-s-grav-14000mb-s-sfyr2s-4t0,NVMe,None,4096.0,False
2026-05-16,ssd,951827,SSD  512gb 2.5 Sata 3 520mb/s Leit - 450mb/s Grav Mv512gb Macrovip,0.0,648.75,570.9,12,0,0,True,Macroway,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/951827/ssd-512gb-macrovip-sata3-2-5-mv512gb,SATA,,512.0,False
2026-05-16,ssd,663039,SSD Wave Pro (p) 256gb M.2 Nvme Leitura 3230mbs Hiksemi,0.0,471.08,433.39,8,0,0,True,Hiksemi,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/663039/ssd-wave-pro-p-256gb-m-2-nvme-leitura-3230mbs-hiksemi,NVMe,,256.0,False
2026-05-16,ssd,428662,"SSD Patriot P300, 256GB, M.2 2280 Pcie 3x4 NVMe 1.3, Leitura 1700MB/s E Grav. 1100MB/s - P300p256gm28",0.0,1051.0,998.45,5,0,0,True,Patriot,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/428662/ssd-patriot-p300-256gb-m-2-2280-pcie-3x4-nvme-1-3-leitura-1700mb-s-e-grav-1100mb-s-p300p256gm28,NVMe,,256.0,False
2026-05-16,ssd,950810,"Case Externa Ugreen SSD M.2 Nvme E Sata 20 Gbps Usb 3.2 Gen 2x2, Luz RGB Capacidade Até 8 Tb",0.0,589.0,589.0,0,0,0,True,Ugreen,Hardware/SSD/Acessórios,Sem Garantia,False,https://www.kabum.com.br/produto/950810/case-externa-ugreen-ssd-m-2-nvme-e-sata-20-gbps-usb-3-2-gen-2x2-luz-rgb-capacidade-ate-8-tb,NVMe,None,8192.0,False
2026-05-16,ssd,191326,"SSD Lexar Nq100 240GB, 2.5"" SATA 3, Leitura 550MB/S, Gravação 445MB/s - Lnq100x240g-Rnnnu",0.0,371.99,371.99,0,5,1,True,Lexar,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/191326/ssd-lexar-nq100-240gb-2-5-sata-3-leitura-550mb-s-gravacao-445mb-s-lnq100x240g-rnnnu,SATA,,240.0,False
